Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
2114,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Perfect
2115,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",What a wonderful organization!
2116,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Adorable and touching. 
2117,8.0,0.1242,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",A great experience for a great cause 
2118,8.0,0.1198,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",Amazing Experience
2119,8.0,0.1218,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",Amazingly beautiful animals!
2120,2.0,0.1198,"experience, day, short, thing, world, cool, informative, animal, top, conservancy",Wonderful experience with wildlife
2121,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Amazing too!
2122,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Good but could be better
2123,0.0,0.1242,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",An Amazing place For a Family Getaway
2124,0.0,0.1285,"close, work, giraffe, kid, stunning, city, family, water, personal, creature","A fun, inexpensive encounter with Giraffe"
2125,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Giraffes are SO Beautiful
2126,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",awesome
2127,8.0,0.1264,"experience, trip, unique, unforgettable, quick, stop, tourist, long, feeding, rare",Wonderful experience
2128,6.0,0.1285,"worth, time, walk, visit, nature, small, afternoon, natural, interaction, crossing",Wonderful and heartbreaking at the same time!
2129,0.0,0.1111,"close, work, giraffe, kid, stunning, city, family, water, personal, creature",Such a loving care
2130,5.0,0.1453,"elephant, baby, orphan, people, crowd, young, touch, adopt, worthwhile, orphaned",Baby elephants! Need I say more?
