Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
445,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
446,7.0,0.14,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Wow. This is unreal!
447,1.0,0.14,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Fascinating Architecture
448,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Interesting but ...
449,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",One of many.
450,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Good monument
451,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing!
452,4.0,0.1528,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",Greed ruining a potentially great site
453,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",worth the trip
454,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Entrance fee is really a rip off
455,3.0,0.1422,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Excellent (but 1 day is all you need)
456,5.0,0.1356,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Last and most famous church
457,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",The most beautiful of the 11 churches
458,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Lalibela - beautiful but with problems
459,3.0,0.148,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Disappointing experience although St Georges Church was beautiful
460,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Excellent!
461,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Unique! Very impressive!
462,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing!
463,3.0,0.1422,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Great but what a cost
464,5.0,0.1422,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Great view at the top
465,4.0,0.1494,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",Most Famous of Rock-Carved Churchs
466,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Magnificent
467,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Spectacular!
468,0.0,0.1373,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Absolutely Stunning
469,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",amazing rock hewn churches
470,7.0,0.1587,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",The Main Reason You Came to Lalibela
471,3.0,0.1557,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",A Full Day of Visiting.
472,4.0,0.1394,"trip, magical, city, climb, full, long, ceiling, real, spot, lot","I had marked it as a life ""to do"""
473,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Wow moments
474,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",A fascinating place
475,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Rip off but the churches are wonderful
476,2.0,0.1422,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture","Astonishing, breathtaking"
477,2.0,0.1373,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",Wonderful but very expensive NOW and no discounts.
478,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Magnificent to visit to see the beauty of rock-hewn churches
479,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Be sure to get your photo taken at the top:-)
480,2.0,0.1368,"guide, site, historical, historic, people, astonish, make_sure, location, holy, culture",fascinating! a perfect experience with a local guide.
481,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Most beautiful and photogenic
482,0.0,0.1422,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Utterly amazing!
483,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Wonderful Place
484,3.0,0.1422,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece",Fantastic Experience
485,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Fantastic place to visit.
486,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Picturesque Perfect!
487,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing!!
488,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
489,7.0,0.1557,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",Incredible 11 century engineering
490,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",A short walk down the hill from the first group of churches
491,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing!
492,7.0,0.1422,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",An excellent World Culture Heritage
493,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Impressive
494,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Very inspiring!
495,5.0,0.14,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Amazing Construction
496,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Awesome
497,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
498,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Beautiful
499,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",great
500,0.0,0.1394,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Well worth visiting
501,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Very special
502,5.0,0.1334,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Most famous
503,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Unique experience
504,3.0,0.1422,"experience, day, visit, ancient, structure, unforgettable, important, spiritual, part, piece","Unforgettable,"
505,6.0,0.1394,"history, painting, local, simply, cool, stop, cultural, high, destination, extraordinary",Beautiful and full of history!
506,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Totaly breathtaking
507,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Astounding!
508,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Truly fantastic
509,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing!
510,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Amazing
511,7.0,0.1394,"incredible, world, time, walk, modern, spectacular, place, main, short, inside",A wonderful after thought after the two main complexes
512,4.0,0.1394,"trip, magical, city, climb, full, long, ceiling, real, spot, lot",The Churches are great the People are greater
513,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image","Wonderful rock churches of Lalibela , Ethiopia"
514,1.0,0.1422,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",best hotel ethiopia
515,1.0,0.1368,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice","Magnificent architecture, a lot of history."
516,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Totally phenomenal
517,0.0,0.125,"worth, small, top, important, drive, stone, absolutely, colorful, spectacular, image",Lovely churches; very busy during Ethiopian Xmas
518,1.0,0.1394,"stunning, architecture, unique, building, miss, preserve, monument, ride, wall, overprice",Beautiful architecture and setting
519,5.0,0.1334,"tour, site, view, religious, cave, painting, famous, monastery, town, expect",Fantastic sites!
